 created by the TBmodels package    Thu, 02 Mar 2017 14:18:05 CET
          44
         123
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1
   -4   -1   -1    1    1      0.00000000000000     -0.00000000000000
   -4   -1   -1    2    1      0.00000000000000     -0.00000000000000
   -4   -1   -1    3    1      0.00000000000000     -0.00000000000000
   -4   -1   -1    4    1      0.00000000000000     -0.00000000000000
   -4   -1   -1    5    1      0.00000000000000     -0.00000000000000
   -4   -1   -1    6    1      0.00000000000000     -0.00000000000000
   -4   -1   -1    7    1      0.00000000000000     -0.00000000000000
   -4   -1   -1    8    1      0.00000000000000     -0.00000000000000
   -4   -1   -1    9    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   10    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   11    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   12    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   13    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   14    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   15    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   16    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   17    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   18    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   19    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   20    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   21    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   22    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   23    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   24    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   25    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   26    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   27    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   28    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   29    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   30    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   31    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   32    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   33    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   34    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   35    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   36    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   37    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   38    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   39    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   40    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   41    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   42    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   43    1      0.00000000000000     -0.00000000000000
   -4   -1   -1   44    1      0.00000000000000     -0.00000000000000
   -4   -1   -1    1    2      0.00000000000000     -0.00000000000000
   -4   -1   -1    2    2      0.00000000000000     -0.00000000000000
   -4   -1   -1    3    2      0.00000000000000     -0.00000000000000
   -4   -1   -1    4    2      0.00000000000000     -0.00000000000000
   -4   -1   -1    5    2      0.00000000000000     -0.00000000000000
   -4   -1   -1    6    2      0.00000000000000     -0.00000000000000
   -4   -1   -1    7    2      0.00000000000000     -0.00000000000000
   -4   -1   -1    8    2      0.00000000000000     -0.00000000000000
   -4   -1   -1    9    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   10    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   11    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   12    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   13    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   14    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   15    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   16    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   17    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   18    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   19    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   20    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   21    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   22    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   23    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   24    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   25    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   26    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   27    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   28    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   29    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   30    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   31    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   32    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   33    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   34    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   35    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   36    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   37    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   38    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   39    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   40    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   41    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   42    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   43    2      0.00000000000000     -0.00000000000000
   -4   -1   -1   44    2      0.00000000000000     -0.00000000000000
   -4   -1   -1    1    3      0.00000000000000     -0.00000000000000
   -4   -1   -1    2    3      0.00000000000000     -0.00000000000000
   -4   -1   -1    3    3      0.00000000000000     -0.00000000000000
   -4   -1   -1    4    3      0.00000000000000     -0.00000000000000
   -4   -1   -1    5    3      0.00000000000000     -0.00000000000000
   -4   -1   -1    6    3      0.00000000000000     -0.00000000000000
   -4   -1   -1    7    3      0.00000000000000     -0.00000000000000
   -4   -1   -1    8    3      0.00000000000000     -0.00000000000000
   -4   -1   -1    9    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   10    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   11    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   12    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   13    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   14    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   15    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   16    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   17    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   18    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   19    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   20    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   21    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   22    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   23    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   24    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   25    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   26    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   27    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   28    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   29    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   30    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   31    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   32    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   33    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   34    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   35    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   36    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   37    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   38    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   39    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   40    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   41    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   42    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   43    3      0.00000000000000     -0.00000000000000
   -4   -1   -1   44    3      0.00000000000000     -0.00000000000000
   -4   -1   -1    1    4      0.00000000000000     -0.00000000000000
   -4   -1   -1    2    4      0.00000000000000     -0.00000000000000
   -4   -1   -1    3    4      0.00000000000000     -0.00000000000000
   -4   -1   -1    4    4      0.00000000000000     -0.00000000000000
   -4   -1   -1    5    4      0.00000000000000     -0.00000000000000
   -4   -1   -1    6    4      0.00000000000000     -0.00000000000000
   -4   -1   -1    7    4      0.00000000000000     -0.00000000000000
   -4   -1   -1    8    4      0.00000000000000     -0.00000000000000
   -4   -1   -1    9    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   10    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   11    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   12    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   13    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   14    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   15    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   16    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   17    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   18    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   19    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   20    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   21    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   22    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   23    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   24    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   25    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   26    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   27    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   28    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   29    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   30    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   31    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   32    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   33    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   34    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   35    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   36    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   37    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   38    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   39    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   40    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   41    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   42    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   43    4      0.00000000000000     -0.00000000000000
   -4   -1   -1   44    4      0.00000000000000     -0.00000000000000
   -4   -1   -1    1    5      0.00000000000000     -0.00000000000000
   -4   -1   -1    2    5      0.00000000000000     -0.00000000000000
   -4   -1   -1    3    5      0.00000000000000     -0.00000000000000
   -4   -1   -1    4    5      0.00000000000000     -0.00000000000000
   -4   -1   -1    5    5      0.00000000000000     -0.00000000000000
   -4   -1   -1    6    5      0.00000000000000     -0.00000000000000
   -4   -1   -1    7    5      0.00000000000000     -0.00000000000000
   -4   -1   -1    8    5      0.00000000000000     -0.00000000000000
   -4   -1   -1    9    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   10    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   11    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   12    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   13    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   14    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   15    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   16    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   17    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   18    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   19    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   20    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   21    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   22    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   23    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   24    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   25    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   26    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   27    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   28    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   29    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   30    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   31    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   32    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   33    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   34    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   35    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   36    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   37    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   38    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   39    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   40    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   41    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   42    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   43    5      0.00000000000000     -0.00000000000000
   -4   -1   -1   44    5      0.00000000000000     -0.00000000000000
   -4   -1   -1    1    6      0.00000000000000     -0.00000000000000
   -4   -1   -1    2    6      0.00000000000000     -0.00000000000000
   -4   -1   -1    3    6      0.00000000000000     -0.00000000000000
   -4   -1   -1    4    6      0.00000000000000     -0.00000000000000
   -4   -1   -1    5    6      0.00000000000000     -0.00000000000000
   -4   -1   -1    6    6      0.00000000000000     -0.00000000000000
   -4   -1   -1    7    6      0.00000000000000     -0.00000000000000
   -4   -1   -1    8    6      0.00000000000000     -0.00000000000000
   -4   -1   -1    9    6      0.00000000000000     -0.00000000000000
   -4   -1   -1   10    6      0.00000000000000     -0.00000000000000
   -4   -1   -1   11    6      0.00000000000000     -0.00000000000000
   -4   -1   -1   12    6      0.00000000000000     -0.00000000000000
   -4   -1   -1   13    6      0.00000000000000     -0.00000000000000
   -4   -1   -1   14    6      0.00000000000000     -0.00000000000000
   -4   -1   -1   15    6      0.00000000000000     -0.00000000000000
   -4   -1   -1   16    6      0.00000000000000     -0.00000000000000
   -4   -1   -1   17    6      0.00000000000000     -0.00000000000000
   -4   -1   -1   18    6      0.00000000000000     -0.00000000000000
   -4   -1   -1   19    6      0.00000000000000     -0.00000000000000
   -4   -1   -1   20    6      0.00000000000000     -0.00000000000000
   -4   -1   -1   21    6      0.00000000000000     -0.00000000000000
   -4   -1   -1   22    6      0.00000000000000     -0.00000000000000
   -4   -1   -1   23    6      0.00000000000000     -0.00000000000000
   -4   -1   -1   24    6      0.00000000000000     -0.00000000000000
